city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Hispanic or Latino,49524,343597383692
Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Black or African-American,13636,352187318272
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Hispanic or Latino,26132,352187318273
Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,Hispanic or Latino,37151,352187318274
Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Black or African-American,33951,352187318275
Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,White,92216,352187318276
Brownsville,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX,White,174670,352187318277
Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,Asian,59958,352187318278
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Black or African-American,85606,352187318279
Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,White,60576,352187318280
Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Asian,121507,352187318281
Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,American Indian and Alaska Native,1883,352187318282
Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,White,80467,352187318283
Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,Hispanic or Latino,9131,352187318284
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,White,139301,352187318285
Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,Hispanic or Latino,18760,352187318286
Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,Asian,2929,352187318287
Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,Asian,42053,352187318288
San Mateo,California,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64,CA,White,62656,360777252864
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,American Indian and Alaska Native,9238,360777252865
Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,American Indian and Alaska Native,2020,360777252866
Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,Asian,6566,360777252867
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,American Indian and Alaska Native,298,360777252868
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,White,43516,360777252869
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,American Indian and Alaska Native,648,360777252870
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,White,58956,360777252871
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,Black or African-American,92156,360777252872
Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Asian,20161,360777252873
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,Asian,1282,360777252874
Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,Asian,2922,360777252875
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,White,40182,360777252876
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Asian,9498,369367187456
Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,White,98243,369367187457
Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,Black or African-American,17939,369367187458
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,7823.0,5404.0,2.32,IA,Hispanic or Latino,5328,369367187459
Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Asian,7189,369367187460
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,Black or African-American,6401,369367187461
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41,MI,White,57815,369367187462
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Asian,7909,369367187463
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85,MN,Asian,14443,369367187464
Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,Hispanic or Latino,28977,369367187465
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,Black or African-American,82248,369367187466
Bellevue,Washington,37.4,70763.0,69051.0,139814,5382.0,54654.0,2.43,WA,Black or African-American,4151,369367187467
Centennial,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,American Indian and Alaska Native,1219,369367187468
Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,Black or African-American,14747,377957122048
San Ramon,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,American Indian and Alaska Native,609,377957122049
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,White,277862,377957122050
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Asian,1486,377957122051
Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,Asian,9911,377957122052
South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,Asian,23008,377957122053
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,Hispanic or Latino,3157,377957122054
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,7984.0,4199.0,2.39,WA,American Indian and Alaska Native,2473,377957122055
San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,American Indian and Alaska Native,20752,377957122056
McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX,White,107763,377957122057
Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,Black or African-American,6815,377957122058
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,Asian,7633,377957122059
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,Asian,3759,377957122060
Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,White,70278,377957122061
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,Black or African-American,8890,377957122062
Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,American Indian and Alaska Native,4606,386547056640
Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,,PR,Hispanic or Latino,76349,386547056641
San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,American Indian and Alaska Native,13776,386547056642
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,American Indian and Alaska Native,2689,386547056643
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,American Indian and Alaska Native,655,386547056644
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,White,53571,386547056645
East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ,American Indian and Alaska Native,535,386547056646
Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,White,80975,386547056647
East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ,Asian,656,386547056648
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,Asian,18797,386547056649
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,Black or African-American,29031,395136991232
Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Black or African-American,27434,395136991233
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,Asian,22551,395136991234
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,American Indian and Alaska Native,713,395136991235
Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,White,69691,395136991236
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,Asian,6348,395136991237
Mission Viejo,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,Asian,13073,395136991238
Bend,Oregon,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39,OR,White,83689,395136991239
Tempe,Arizona,28.8,91350.0,84476.0,175826,7058.0,26620.0,2.44,AZ,Asian,17338,395136991240
Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,White,48414,395136991241
Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,Black or African-American,950,395136991242
Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,3953.0,12868.0,2.44,GA,American Indian and Alaska Native,593,395136991243
Mountain View,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,Asian,23884,395136991244
Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,Asian,42070,395136991245
Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,White,259820,395136991246
Ames,Iowa,23.0,33814.0,31238.0,65052,2265.0,8606.0,2.16,IA,White,56157,403726925824
Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,Asian,6626,403726925825
Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,White,77979,403726925826
Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,Black or African-American,2985,403726925827
Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,White,85130,403726925828
Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,Hispanic or Latino,16668,403726925829
Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,Asian,2688,403726925830
Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,Hispanic or Latino,9075,403726925831
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,Asian,10893,403726925832
Apple Valley,California,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03,CA,Hispanic or Latino,25928,403726925833
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,White,111477,403726925834
Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,American Indian and Alaska Native,2766,403726925835
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Black or African-American,6016,403726925836
Mission Viejo,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,American Indian and Alaska Native,683,403726925837
Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,,PR,American Indian and Alaska Native,624,403726925838
Yuma,Arizona,33.4,48298.0,45847.0,94145,7182.0,19326.0,2.64,AZ,American Indian and Alaska Native,1228,403726925839
San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,American Indian and Alaska Native,2808,412316860416
Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Asian,2889,412316860417
Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,Asian,27355,412316860418
Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Black or African-American,2679,412316860419
Lynwood,California,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43,CA,Black or African-American,5346,412316860420
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,American Indian and Alaska Native,1540,412316860421
Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,Hispanic or Latino,8033,412316860422
Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,Asian,5711,412316860423
Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,Hispanic or Latino,30200,412316860424
Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,Asian,3075,412316860425
Perris,California,26.9,41623.0,33336.0,74959,1321.0,23277.0,4.78,CA,White,23882,412316860426
Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL,White,66970,412316860427
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,White,90896,412316860428
Ogden,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,White,74960,420906795008
Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,White,85853,420906795009
Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI,White,56866,420906795010
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,American Indian and Alaska Native,742,420906795011
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Black or African-American,10821,420906795012
West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,Black or African-American,3693,420906795013
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,Black or African-American,56734,420906795014
Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Hispanic or Latino,10123,420906795015
Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,White,74800,420906795016
Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,Hispanic or Latino,36687,420906795017
Midland,Texas,32.1,66595.0,66355.0,132950,5753.0,17061.0,2.78,TX,American Indian and Alaska Native,1922,420906795018
Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,American Indian and Alaska Native,1593,420906795019
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,Black or African-American,14599,429496729600
Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Asian,27217,429496729601
Orange,California,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14,CA,Hispanic or Latino,46255,429496729602
Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,White,106409,429496729603
Longview,Texas,36.8,40065.0,41525.0,81590,5512.0,8782.0,2.55,TX,White,60997,429496729604
Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Asian,10882,429496729605
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,3173.0,17884.0,2.41,RI,Hispanic or Latino,16117,429496729606
McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX,Hispanic or Latino,113829,429496729607
Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Hispanic or Latino,6060,429496729608
Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA,Asian,24055,429496729609
Sugar Land,Texas,42.1,43889.0,44240.0,88129,4377.0,31169.0,2.95,TX,White,44555,429496729610
Akron,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,Asian,9033,429496729611
Lansing,Michigan,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39,MI,White,75688,429496729612
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,American Indian and Alaska Native,2304,429496729613
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,Asian,4689,429496729614
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,American Indian and Alaska Native,1024,429496729615
Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,Black or African-American,29391,429496729616
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,White,59683,438086664192
El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,Black or African-American,7534,438086664193
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,White,246677,438086664194
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,American Indian and Alaska Native,3271,438086664195
Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,Black or African-American,54601,438086664196
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,White,77242,438086664197
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Asian,3593,438086664198
Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,White,275892,438086664199
Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,White,69857,438086664200
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Asian,2202,438086664201
Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Black or African-American,11721,438086664202
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45,FL,Black or African-American,20616,438086664203
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Asian,12683,438086664204
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,Black or African-American,2778,438086664205
Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,Asian,59424,438086664206
Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,White,110311,438086664207
Dale City,Virginia,33.4,35984.0,35415.0,71399,6085.0,22306.0,3.65,VA,American Indian and Alaska Native,548,438086664208
Pomona,California,32.1,74945.0,78307.0,153252,3251.0,53879.0,3.63,CA,Asian,17646,438086664209
Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,White,124270,446676598784
Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,American Indian and Alaska Native,904,446676598785
Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,Hispanic or Latino,10829,446676598786
Huntington Beach,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,Asian,29095,446676598787
Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,White,98705,446676598788
Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,White,115903,446676598789
Rapid City,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,Hispanic or Latino,2971,446676598790
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,Asian,6228,446676598791
Irvine,California,34.6,125411.0,131516.0,256927,5532.0,116366.0,2.73,CA,Black or African-American,8670,446676598792
Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,Black or African-American,1809,446676598793
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,White,429142,446676598794
Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,Black or African-American,84569,446676598795
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,American Indian and Alaska Native,63758,446676598796
Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,Black or African-American,3506,446676598797
Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,American Indian and Alaska Native,1112,446676598798
Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,White,77178,446676598799
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,American Indian and Alaska Native,1935,455266533376
Mission Viejo,California,44.9,48849.0,48314.0,97163,4713.0,17308.0,2.85,CA,Hispanic or Latino,18913,455266533377
Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,American Indian and Alaska Native,3771,455266533378
Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,Black or African-American,12761,455266533379
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,American Indian and Alaska Native,2109,455266533380
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,American Indian and Alaska Native,610,455266533381
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,Hispanic or Latino,9137,455266533382
Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,Hispanic or Latino,3567,463856467968
Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,Asian,6288,463856467969
El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,American Indian and Alaska Native,718,463856467970
College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,American Indian and Alaska Native,605,463856467971
Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Hispanic or Latino,2738,463856467972
Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,White,88145,463856467973
Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,Black or African-American,2928,463856467974
Corona,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.97,CA,Hispanic or Latino,68592,463856467975
Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Hispanic or Latino,46767,463856467976
Pharr,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,White,73694,463856467977
Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,Asian,69472,463856467978
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Asian,9182,463856467979
Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,Black or African-American,3228,463856467980
Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,American Indian and Alaska Native,2331,463856467981
Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,Asian,7355,463856467982
South Jordan,Utah,33.8,33669.0,32970.0,66639,2595.0,6142.0,3.61,UT,Asian,2487,463856467983
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Black or African-American,26395,463856467984
Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,White,84328,463856467985
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Hispanic or Latino,26894,472446402560
Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.72,FL,American Indian and Alaska Native,464,472446402561
Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,Hispanic or Latino,35563,472446402562
Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Asian,9801,472446402563
Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Asian,14636,472446402564
Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,American Indian and Alaska Native,535,472446402565
German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,American Indian and Alaska Native,1232,472446402566
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,Asian,3347,472446402567
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,Black or African-American,234645,472446402568
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,White,131898,472446402569
Everett,Washington,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36,WA,Asian,9807,472446402570
Pittsburg,California,34.5,33309.0,36118.0,69427,2109.0,21043.0,3.15,CA,White,25996,472446402571
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,American Indian and Alaska Native,1065,472446402572
West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,Asian,32716,481036337152
San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Asian,385198,481036337153
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Asian,4602,481036337154
Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,White,58989,481036337155
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,American Indian and Alaska Native,481,481036337156
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Black or African-American,1854,481036337157
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.72,IL,Asian,21571,481036337158
Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,White,46529,481036337159
Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,White,107898,481036337160
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,Hispanic or Latino,9388,481036337161
Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,American Indian and Alaska Native,4304,481036337162
Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,Asian,16189,481036337163
Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,American Indian and Alaska Native,2084,489626271744
Rialto,California,31.6,49902.0,53235.0,103137,2036.0,32741.0,3.83,CA,Hispanic or Latino,78571,489626271745
Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,Black or African-American,39862,489626271746
Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,Hispanic or Latino,3430,489626271747
Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,White,75636,489626271748
Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,Hispanic or Latino,3597,489626271749
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,10663.0,56530.0,3.25,NV,Hispanic or Latino,99838,489626271750
Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,Asian,1124,489626271751
Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,Hispanic or Latino,26754,489626271752
Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,,PR,American Indian and Alaska Native,589,489626271753
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,Hispanic or Latino,38674,489626271754
Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA,Hispanic or Latino,31102,489626271755
