City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,Hispanic or Latino,11732
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,Black or African-American,39445
El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,American Indian and Alaska Native,1891
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,Asian,2646
Jackson,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,Asian,1171
Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Asian,8172
Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Black or African-American,24750
Kendall,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,Black or African-American,2937
Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,White,549468
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,White,166958
Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,Asian,3791
Savannah,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.57,GA,White,57690
Springfield,Missouri,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12,MO,White,151686
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,White,94499
Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,White,48746
Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72,VA,Asian,2248
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,Hispanic or Latino,10918
Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,Asian,14984
Roanoke,Virginia,36.9,47252.0,52645.0,99897,6567.0,7346.0,2.35,VA,Hispanic or Latino,6091
Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,Black or African-American,1782
Long Beach,California,34.6,238159.0,236013.0,474172,17463.0,127764.0,2.78,CA,Asian,68095
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,American Indian and Alaska Native,1745
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,White,44786
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,American Indian and Alaska Native,2338
Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Hispanic or Latino,43060
Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,White,69369
Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,Hispanic or Latino,13065
Springfield,Missouri,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12,MO,Asian,5725
Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,Hispanic or Latino,8858
Thornton,Colorado,33.1,65482.0,67977.0,133459,7261.0,17949.0,2.97,CO,White,119264
Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,Black or African-American,31725
Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,Asian,4791
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Black or African-American,11100
Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,White,151232
Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Hispanic or Latino,28712
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,10633.0,12268.0,2.52,LA,American Indian and Alaska Native,1119
Roseville,California,38.4,62591.0,67691.0,130282,8386.0,18161.0,2.72,CA,Black or African-American,4413
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Asian,12264
Bay,Texas,32.9,37977.0,37508.0,75485,3478.0,13192.0,2.59,TX,Hispanic or Latino,31672
Oceanside,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,Asian,20882
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,Asian,33854
Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,American Indian and Alaska Native,8859
Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,White,546370
New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,American Indian and Alaska Native,645
Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,Hispanic or Latino,42472
Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,Black or African-American,8839
East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,Asian,1053
Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN,White,41705
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,Hispanic or Latino,38222
Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,American Indian and Alaska Native,2597
Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,Asian,13315
Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,Hispanic or Latino,2031
Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,White,63666
Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,White,98597
Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,Asian,14398
McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX,Asian,5575
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,American Indian and Alaska Native,1134
Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,American Indian and Alaska Native,1447
Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Asian,11223
Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,Black or African-American,675
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,72042.0,573463.0,2.53,IL,American Indian and Alaska Native,23323
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5799.0,5318.0,2.4,RI,Hispanic or Latino,4723
Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,American Indian and Alaska Native,429
League City,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,White,86012
Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,Hispanic or Latino,54214
Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,Asian,1193
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54,MS,Black or African-American,27799
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,Asian,1175
Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,Black or African-American,3229
Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,American Indian and Alaska Native,875
Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,Black or African-American,9518
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,American Indian and Alaska Native,4524
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Hispanic or Latino,67523
Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.72,FL,Black or African-American,11005
Muncie,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN,Hispanic or Latino,2499
Carrollton,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,Hispanic or Latino,46850
Medford,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,Asian,2135
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,White,50652
Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.97,CA,Black or African-American,9869
Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,American Indian and Alaska Native,876
Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,Asian,7508
Cleveland,Ohio,36.0,186436.0,201623.0,388059,19849.0,18830.0,2.24,OH,Asian,10102
Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,Black or African-American,57280
Midland,Texas,32.1,66595.0,66355.0,132950,5753.0,17061.0,2.78,TX,Hispanic or Latino,58677
Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA,Hispanic or Latino,32944
Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,Hispanic or Latino,86653
Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.82,CO,Asian,24673
Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,White,115419
Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,Asian,7755
Chandler,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,Asian,33079
Stockton,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA,Asian,76859
Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,Black or African-American,35550
Lowell,Massachusetts,33.4,54422.0,56298.0,110720,3764.0,33414.0,2.8,MA,American Indian and Alaska Native,868
Walnut Creek,California,47.6,31994.0,36912.0,68906,4977.0,13624.0,2.22,CA,Hispanic or Latino,5212
Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Hispanic or Latino,30787
Goodyear,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97,AZ,Hispanic or Latino,21603
Hoover,Alabama,38.5,38040.0,46799.0,84839,4819.0,8229.0,2.58,AL,White,61869
Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Hispanic or Latino,45132
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,American Indian and Alaska Native,1339
Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,White,94904
Gainesville,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,Black or African-American,32912
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,Hispanic or Latino,5516
Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,White,86909
Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,Black or African-American,9307
Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,Hispanic or Latino,16920
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,White,80551
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,Asian,13169
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,American Indian and Alaska Native,708
Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Hispanic or Latino,63516
Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Black or African-American,72288
San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,White,949388
The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,Hispanic or Latino,1066
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,White,137357
Fullerton,California,34.5,69549.0,71300.0,140849,5394.0,43404.0,2.97,CA,American Indian and Alaska Native,1668
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.57,NJ,Hispanic or Latino,79718
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,Hispanic or Latino,9713
Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,Black or African-American,9076
Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,Asian,1343
Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,Asian,4613
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.72,IL,Hispanic or Latino,12545
East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ,White,3165
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,White,23743
Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,Hispanic or Latino,100432
Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,Hispanic or Latino,44120
Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,White,456451
Indio,California,35.9,43803.0,43723.0,87526,3647.0,22538.0,3.08,CA,White,48562
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,White,36639
Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,American Indian and Alaska Native,2489
Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,Black or African-American,20424
West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,Black or African-American,3179
South Gate,California,32.5,47758.0,48641.0,96399,724.0,40571.0,3.97,CA,Asian,971
Paradise,Nevada,37.2,122784.0,114162.0,236946,14112.0,66712.0,2.65,NV,American Indian and Alaska Native,4314
Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,Hispanic or Latino,66038
Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,American Indian and Alaska Native,2417
Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,American Indian and Alaska Native,1179
Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,Black or African-American,14449
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,White,553665
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,Asian,1193
Union City,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,Black or African-American,4686
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41,MI,American Indian and Alaska Native,313
Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA,Black or African-American,1049
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,Black or African-American,12482
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,72042.0,573463.0,2.53,IL,Hispanic or Latino,785725
Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,Hispanic or Latino,57423
Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Hispanic or Latino,4956
Durham,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,Asian,15740
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,,,,PR,Hispanic or Latino,120705
Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,Black or African-American,881
Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,American Indian and Alaska Native,2960
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Asian,24519
Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,Hispanic or Latino,17211
Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,Hispanic or Latino,65162
Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,White,97195
Birmingham,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,Asian,1500
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,White,69075
Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,White,25522
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO,Asian,22619
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,American Indian and Alaska Native,3577
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Asian,2787
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Asian,4304
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5,GA,White,42306
Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,Hispanic or Latino,3461
Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,White,61844
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,American Indian and Alaska Native,2496
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,American Indian and Alaska Native,1092
Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,American Indian and Alaska Native,6066
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,White,36346
Pasadena,California,37.6,67712.0,74534.0,142246,4618.0,40779.0,2.63,CA,White,76525
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,Asian,15138
Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,Asian,14249
Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,Black or African-American,420983
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,Hispanic or Latino,4860
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Black or African-American,55137
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,Hispanic or Latino,24766
Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,White,53919
Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,Hispanic or Latino,22539
Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,Asian,69976
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Hispanic or Latino,1114
Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Asian,1939
League City,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,Black or African-American,4166
San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,White,72061
Pasadena,California,37.6,67712.0,74534.0,142246,4618.0,40779.0,2.63,CA,Asian,22794
Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,American Indian and Alaska Native,3151
Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,White,37593
Tustin,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,American Indian and Alaska Native,538
